Isaac, Newton, 50, 7895242314, isaacn@gmail.com
Thomas, Edison, 34, 9346872364, thomas@gmail.com
Mark, Zuckerberg, 76, 8293947892, mark.z@gmail.com
Suresh, Gupta, 21, 7892374927, suresh.gupta@gmail.com
Dead, Pool, 89, 7374762837, pool.dead@gmail.com
Tony, Stark, 32, 9234782343, stark@gmail.com
Omkar, Dubas, 67, 9680237834, omkar.flash@gmail.com
Neel, Sharma, 43, 8923648276, neel.sharma@gmail.com
Mahendra, Shinde, 32, 9527496326, m.shinde@gmail.com
Michael, Jordan, 39, 9021900213, m.jordan@gmail.com
